"","Sample","Tissue","Thickness","ID","Symbiont.Intensity","Tissue.Intensity","Plug","Spat","Polyps","Cohort","Temperature","Nutrition","Treatment","Tank","Area","Red","Ratio","Green"
"1","A045a","Connecting",700.344444444444,"A045a Connecting",709.176666666667,972.376666666667,"A045","a",11,"201707609","Cool","Heterotrophy","CH","24",10.238,32.4501735182366,0.72932299897502,3.62551576060947
"2","A052a","Connecting",265.45375,"A052a Connecting",523.01,455.436666666667,"A052","a",2,"20170609","Ambient","No Heterotrophy","AN","22",1.779,24.7893090819308,1.14837042838009,1.61961765809114
"3","A052b","Connecting",205.244,"A052b Connecting",416.096666666667,355.633333333333,"A052","b",2,"20170609","Ambient","No Heterotrophy","AN","22",1.901,20.3897644815714,1.17001593401443,1.23234772935987
"4","A052c","Connecting",271.07,"A052c Connecting",416.473333333333,451.42,"A052","c",6,"20170609","Ambient","No Heterotrophy","AN","22",4.19,20.4052645295804,0.922585027985763,1.60403166349773
"5","A052d","Connecting",256.152857142857,"A052d Connecting",481.646666666667,461.41,"A052","d",4,"20170609","Ambient","No Heterotrophy","AN","22",3.837,23.0871843408365,1.04385831834305,1.64279616623336
"6","A052e","Connecting",275.22375,"A052e Connecting",662.953333333333,517.03,"A052","e",3,"20170609","Ambient","No Heterotrophy","AN","22",3.557,30.5480570072562,1.28223378398417,1.85862015443716
"7","A052f","Connecting",304.088333333333,"A052f Connecting",455.443333333333,375.793333333333,"A052","f",4,"20170609","Ambient","No Heterotrophy","AN","22",3.69,22.0089022399627,1.21195160460537,1.31057519433989
"8","A058a","Connecting",353.801666666667,"A058a Connecting",620.563333333333,525.586666666667,"A058","a",2,"20170609","Ambient","No Heterotrophy","AN","22",2.578,28.8036843476949,1.18070600471854,1.89182284997348
"9","A058b","Connecting",288.645,"A058b Connecting",548.4,399.54,"A058","b",7,"20170609","Ambient","No Heterotrophy","AN","22",6.942,25.8341220525904,1.37257846523502,1.40272011175352
"10","A058c","Connecting",190.25,"A058c Connecting",648.586666666667,363.573333333333,"A058","c",2,"20170609","Ambient","No Heterotrophy","AN","22",2.282,29.9568604858511,1.78392254657474,1.26315755435696
"11","A058d","Connecting",337.816666666667,"A058d Connecting",564.743333333333,476.233333333333,"A058","d",6,"20170609","Ambient","No Heterotrophy","AN","22",8.481,26.5066595339012,1.18585427311542,1.70031560022247
"12","A058e","Connecting",304.813333333333,"A058e Connecting",624.916666666667,483.146666666667,"A058","e",1,"20170609","Ambient","No Heterotrophy","AN","22",1.654,28.9828264954803,1.29343056628767,1.72714161913262
"13","A070a","Connecting",453.035555555556,"A070a Connecting",625.506666666667,446.226666666667,"A070","a",10,"20170609","Cool","No Heterotrophy","CN","20",10.552,29.0071053317422,1.4017689066842,1.58387981322675
"14","A083a","Connecting",474.461428571429,"A083a Connecting",618.863333333333,614.966666666667,"A083","a",4,"20170609","Ambient","Heterotrophy","AH","18",4.403,28.7337283788047,1.00633638679603,2.23864679937397
"15","A083b","Connecting",404.594285714286,"A083b Connecting",731.776666666667,705.166666666667,"A083","b",6,"20170609","Ambient","Heterotrophy","AH","18",6.219,33.3801763987765,1.03773575986764,2.58865261986988
"16","A083c","Connecting",460.964,"A083c Connecting",849.86,688.363333333333,"A083","c",3,"20170609","Ambient","Heterotrophy","AH","18",2.039,38.2393728653142,1.23460962960452,2.52345013128452
"17","A084a","Connecting",247.57,"A084a Connecting",595.973333333333,477.015333333333,"A084","a",3,"20170609","Ambient","Heterotrophy","AH","18",3.03,27.7917918329836,1.2493798242684,1.70335001875493
"18","A084b","Connecting",391.949,"A084b Connecting",637.93,565.01,"A084","b",4,"20170609","Ambient","Heterotrophy","AH","18",3.391,29.5183325789062,1.12905966266084,2.04479841682511
"19","A084c","Connecting",675.576,"A084c Connecting",651.566666666667,861.526666666667,"A084","c",8,"20170609","Ambient","Heterotrophy","AH","18",8.529,30.0794891842585,0.756293092107809,3.19538111313751
"20","A084d","Connecting",454.6,"A084d Connecting",796.11,490.655,"A084","d",1,"20170609","Ambient","Heterotrophy","AH","18",1.137,36.0275297312868,1.62254537302178,1.75627643475224
"21","A092a","Connecting",306.67,"A092a Connecting",372.91,353.03,"A092","a",4,"20170609","Ambient","No Heterotrophy","AN","16",4.174,18.6126085346282,1.05631249468884,1.22224593535369
"22","A092b","Connecting",348.663333333333,"A092b Connecting",613.61,346.78,"A092","b",1,"20170609","Ambient","No Heterotrophy","AN","16",0.905,28.5175507180774,1.76945037199377,1.19799386907765
"23","A110a","Connecting",397.89,"A110a Connecting",840.806666666667,552.203333333333,"A110","a",6,"20170609","Ambient","Heterotrophy","AH","14",5.139,37.8668230388324,1.522639607391,1.99510431622108
"24","A110b","Connecting",663.02375,"A110b Connecting",614.573333333333,718.216666666667,"A110","b",8,"20170609","Ambient","Heterotrophy","AH","14",7.4,28.5571924337819,0.855693500104425,2.63929093425427
"25","A110c","Connecting",825.106666666667,"A110c Connecting",856.861886666667,1054.84821,"A110","c",10,"20170609","Ambient","Heterotrophy","AH","14",14.662,38.5275044922706,0.812308234060204,3.94553261417873
"26","A113a","Connecting",594.012857142857,"A113a Connecting",863.813333333333,730.753333333333,"A113","a",2,"20170609","Ambient","Heterotrophy","AH","14",2.313,38.8135604844794,1.18208606643373,2.68793734559518
"27","A113c","Connecting",463.191666666667,"A113c Connecting",929.19,639.23,"A113","c",1,"20170609","Ambient","Heterotrophy","AH","14",1.41,41.503847578289,1.45360824742268,2.33279655426642
"28","A113d","Connecting",221.853333333333,"A113d Connecting",656.19,504.383333333333,"A113","d",1,"20170609","Ambient","Heterotrophy","AH","14",2.418,30.2697419859265,1.30097478769454,1.80954690672979
"29","A113e","Connecting",610.779,"A113e Connecting",672.813333333333,791.703333333333,"A113","e",7,"20170609","Ambient","Heterotrophy","AH","14",4.549,30.9538016268192,0.849830113131602,2.92444349591919
"31","A126a","Connecting",465.301111111111,"A126a Connecting",507.083333333333,417.91,"A126","a",10,"20170609","Cool","No Heterotrophy","CN","13",9.266,24.1339176714264,1.2133792762397,1.47400178495208
"32","A139a","Connecting",418.31,"A139a Connecting",658.50809,606.7489,"A139","a",7,"20170609","Cool","Heterotrophy","CH","17",6.859,30.365132710588,1.08530578300183,2.2067591478794
"33","A139b","Connecting",284.473333333333,"A139b Connecting",744.787966666667,503.833013333333,"A139","b",3,"20170609","Cool","Heterotrophy","CH","17",3.875,33.9155988093768,1.47824367787888,1.8074114831917
"34","A139c","Connecting",650.11,"A139c Connecting",583.946436666667,630.938206666667,"A139","c",4,"20170609","Cool","Heterotrophy","CH","17",5.328,27.2968781805961,0.92552080456775,2.30062165483166
"35","A140a","Connecting",519.268888888889,"A140a Connecting",821.83,683.603333333333,"A140","a",6,"20170609","Cool","Heterotrophy","CH","17",5.621,37.0859223900251,1.20220303197273,2.50497975760868
"36","A140b","Connecting",491.626666666667,"A140b Connecting",872.216666666667,598.516666666667,"A140","b",6,"20170609","Cool","Heterotrophy","CH","17",4.945,39.1593624405031,1.45729720698393,2.17481536093542
"37","A163a","Connecting",700.62,"A163a Connecting",715.733203333333,791.771,"A163","a",7,"20170609","Cool","Heterotrophy","CH","19",8.732,32.7199787388722,0.903964913255643,2.92470606495673
"38","A180a","Connecting",607.88,"A180a Connecting",857.23,774.84,"A180","a",5,"20170609","Ambient","Heterotrophy","AH","21",4.059,38.542652565738,1.10633162975582,2.85900818749758
"39","A180c","Connecting",774.528,"A180c Connecting",778.213333333333,1142.95,"A180","c",5,"20170609","Ambient","Heterotrophy","AH","21",3.521,35.2910716980097,0.680881345057381,4.28739668619766
"40","A283a","Connecting",497.312222222222,"A283a Connecting",600.156666666667,579.693333333333,"A283","a",10,"20170610","Ambient","No Heterotrophy","AN","16",7.759,27.9639383838799,1.03530027370794,2.10177460452964
"41","A283b","Connecting",276.4975,"A283b Connecting",459.226666666667,446.566666666667,"A283","b",3,"20170610","Ambient","No Heterotrophy","AN","16",3.5,22.1645885628849,1.02834963051429,1.58519912563217
"42","A283c","Connecting",354.935,"A283c Connecting",576.976666666667,482.843333333333,"A283","c",2,"20170610","Ambient","No Heterotrophy","AN","16",2.081,27.0100681727775,1.19495626600761,1.72596458551602
"43","A283d","Connecting",291.055,"A283d Connecting",422.776666666667,407.106666666667,"A283","d",3,"20170610","Ambient","No Heterotrophy","AN","16",4.305,20.6646502887398,1.03849114073298,1.43208127999172
"44","A307a","Connecting",438.785555555556,"A307a Connecting",566.97,550.843333333333,"A307","a",5,"20170610","Cool","No Heterotrophy","CN","20",7.519,26.5982881362907,1.02927632176118,1.98982706659941
"45","A307b","Connecting",417.392222222222,"A307b Connecting",726.5,514.18,"A307","b",4,"20170610","Cool","No Heterotrophy","CN","20",4.3,33.163038558084,1.41292932436112,1.84756121221528
"46","A307c","Connecting",541.155555555556,"A307c Connecting",807.373333333333,553.92,"A307","c",4,"20170610","Cool","No Heterotrophy","CN","20",3.812,36.4910223173258,1.45756306566532,2.0017655504249
"47","A307d","Connecting",558.38,"A307d Connecting",629.21,561.63,"A307","d",6,"20170610","Cool","No Heterotrophy","CN","20",7.25,29.1594996090696,1.12032833003935,2.03168289938303
"48","A319a","Connecting",336.2775,"A319a Connecting",564.75,441.943333333333,"A319","a",6,"20170610","Ambient","No Heterotrophy","AN","22",7.484,26.5069338710341,1.2778787627373,1.56725906380557
"49","A319b","Connecting",178.996666666667,"A319b Connecting",461.83,361.42,"A319","b",3,"20170610","Ambient","No Heterotrophy","AN","22",2.383,22.2717172132834,1.27782081788501,1.25480190912266
"50","A319c","Connecting",482.62375,"A319c Connecting",617.65,679.033333333333,"A319","c",6,"20170610","Ambient","No Heterotrophy","AN","22",4.029,28.6837990206164,0.909601885032644,2.48724664674764
"51","A333a","Connecting",600.39,"A333a Connecting",579.193333333333,871.896666666667,"A333","a",15,"20170610","Cool","Heterotrophy","CH","24",11.726,27.1012852694677,0.66429125775608,3.23562014150272
"52","A333b","Connecting",477.64,"A333b Connecting",711.803333333333,559.443333333333,"A333","b",3,"20170610","Cool","Heterotrophy","CH","24",2.873,32.5582623486002,1.27234214963684,2.02319790979525
"53","A336a","Connecting",761.891111111111,"A336a Connecting",615.29871,813.15262,"A336","a",6,"20170610","Cool","Heterotrophy","CH","24",6.887,28.587042097033,0.756682933641658,3.00767381940941
"54","A336b","Connecting",532.295,"A336b Connecting",810.150405,551.395495,"A336","b",1,"20170610","Cool","Heterotrophy","CH","24",0.549,36.6053003991605,1.46927280390639,1.99196963641302
"55","A336c","Connecting",604.82,"A336c Connecting",497.31205,623.363953333333,"A336","c",5,"20170610","Cool","Heterotrophy","CH","24",7.838,23.7318237932595,0.797787628464411,2.27123104781861
"56","A336d","Connecting",529.676666666667,"A336d Connecting",769.530675,599.69192,"A336","d",1,"20170610","Cool","Heterotrophy","CH","24",1.267,34.9337753590387,1.28321001056676,2.1793757324124
"57","A336e","Connecting",567.915,"A336e Connecting",742.109715,684.55226,"A336","e",1,"20170610","Cool","Heterotrophy","CH","24",1.785,33.8053872268631,1.08408043967308,2.50866190679446
"58","A348a","Connecting",486.27,"A348a Connecting",605.24724,564.474485,"A348","a",2,"20170610","Cool","No Heterotrophy","CN","23",1.921,28.1734183778445,1.07223135160839,2.04272044158162
"59","A348b","Connecting",280.463333333333,"A348b Connecting",736.2809475,489.532265,"A348","b",2,"20170610","Cool","No Heterotrophy","CN","23",1.895,33.5655301222172,1.50404988627256,1.75191985177137
"60","A349a","Connecting",251.383333333333,"A349a Connecting",476.78529,420.380955,"A349","a",3,"20170610","Cool","No Heterotrophy","CN","23",4.468,22.8871359203325,1.13417433480068,1.4835899072601
"61","A349b","Connecting",343.168333333333,"A349b Connecting",560.871866666667,469.741126666667,"A349","b",2,"20170610","Cool","No Heterotrophy","CN","23",2.513,26.347346474082,1.19400204671597,1.67512369200523
"62","A349c","Connecting",432.87,"A349c Connecting",562.187153333333,427.40238,"A349","c",2,"20170610","Cool","No Heterotrophy","CN","23",2.709,26.4014712700438,1.31535803177636,1.51083535757247
"63","A349d","Connecting",294.198,"A349d Connecting",501.90323,416.427146666667,"A349","d",2,"20170610","Cool","No Heterotrophy","CN","23",2.46,23.9207534669355,1.20526059364173,1.46824782378125
"64","A357a","Connecting",550.16625,"A357a Connecting",966.47,827.203333333333,"A357","a",4,"20170610","Ambient","Heterotrophy","AH","21",3.042,43.0379408254804,1.16835844471936,3.06219523236713
"65","A361a","Connecting",394.254285714286,"A361a Connecting",782.426666666667,628.076666666667,"A361","a",5,"20170610","Ambient","Heterotrophy","AH","21",5.234,35.4644527660041,1.24575025341917,2.28951793359461
"66","A361b","Connecting",526.475,"A361b Connecting",1000.66666666667,717.986666666667,"A361","b",3,"20170610","Ambient","Heterotrophy","AH","21",2.123,44.4451531487044,1.39371204664896,2.63839845821531
"67","A368a","Connecting",442.132222222222,"A368a Connecting",760.723333333333,784.353333333333,"A368","a",10,"20170610","Cool","Heterotrophy","CH","19",11.239,34.5713482298396,0.969873271399794,2.89592306597856
"68","A368b","Connecting",510.057777777778,"A368b Connecting",713.95,515.283333333333,"A368","b",4,"20170610","Cool","Heterotrophy","CH","19",4.795,32.6465989053948,1.38554840379079,1.85184251031521
"69","A395a","Connecting",421.302222222222,"A395a Connecting",637.05,514.9,"A395","a",8,"20170610","Ambient","No Heterotrophy","AN","15",8.859,29.4821200773631,1.23723053020004,1.85035505025028
"70","A395b","Connecting",359.88,"A395b Connecting",573.033333333333,449.376666666667,"A395","b",1,"20170610","Ambient","No Heterotrophy","AN","15",1.861,26.8477977586656,1.2751737592072,1.59610285462988
"71","A395c","Connecting",426.04875,"A395c Connecting",573.626666666667,495.906666666667,"A395","c",8,"20170610","Ambient","No Heterotrophy","AN","15",8.865,26.872213763494,1.15672303928159,1.77665463764179
"72","A401a","Connecting",402.415,"A401a Connecting",458.21,609.08,"A401","a",2,"20170610","Ambient","No Heterotrophy","AN","15",1.926,22.1227521501173,0.752298548630722,2.21580458655077
"73","A401b","Connecting",198.18,"A401b Connecting",488.573333333333,397.596666666667,"A401","b",3,"20170610","Ambient","No Heterotrophy","AN","15",3.26,23.3722206219223,1.22881647230443,1.39517933594609
"74","A401c","Connecting",375.92,"A401c Connecting",610.055,412.57,"A401","c",1,"20170610","Ambient","No Heterotrophy","AN","15",0.97,28.3712604419571,1.47867028625445,1.45328081952582
"75","A401d","Connecting",386.175555555556,"A401d Connecting",389.863333333333,543.833333333333,"A401","d",6,"20170610","Ambient","No Heterotrophy","AN","15",6.836,19.3102478635996,0.716880171621208,1.96262594906419
"76","A405a","Connecting",240.16,"A405a Connecting",529.516666666667,474.48,"A405","a",6,"20170610","Ambient","No Heterotrophy","AN","15",4.207,25.0570621236437,1.11599364918788,1.69351208722983
"77","A405b","Connecting",358.18875,"A405b Connecting",585.45,446.303333333333,"A405","b",4,"20170610","Ambient","No Heterotrophy","AN","15",3.666,27.3587506686968,1.31177599689299,1.58417730523974
"78","A406a","Connecting",240.437777777778,"A406a Connecting",427.356666666667,456.37,"A406","a",5,"20160610","Ambient","No Heterotrophy","AN","15",NA,20.8531198990439,0.936425853291554,1.62323929998836
"79","A406b","Connecting",284.915555555556,"A406b Connecting",537.02571,470.113013333333,"A406","b",11,"20170610","Ambient","No Heterotrophy","AN","15",NA,25.36606353648,1.14233321513953,1.67656673521917
"80","A407a","Connecting",434.9125,"A407a Connecting",548.32992,527.769056666667,"A407","a",6,"20170610","Cool","No Heterotrophy","CN","13",NA,25.8312382206494,1.03895806901449,1.90029124468071
"81","A407b","Connecting",468.89125,"A407b Connecting",503.85848,576.33563,"A407","b",10,"20170610","Cool","No Heterotrophy","CN","13",NA,24.0012131188017,0.874244890950088,2.08874560552559
"82","A409a","Connecting",295.972857142857,"A409a Connecting",556.753333333333,462.79,"A409","a",5,"20170611","Ambient","No Heterotrophy","AN","22",4.18,26.1778664801174,1.20303665449412,1.64815102246711
"83","A409b","Connecting",207.18,"A409b Connecting",604.11,446.933333333333,"A409","b",2,"20170611","Ambient","No Heterotrophy","AN","22",1.197,28.1266203036912,1.3516781026253,1.58662191352037
"84","A409c","Connecting",314.834,"A409c Connecting",707.256666666667,501.226666666667,"A409","c",4,"20170611","Ambient","No Heterotrophy","AN","22",3.143,32.3711644239606,1.41105155352203,1.79729799645596
"85","A409d","Connecting",286.28,"A409d Connecting",621.766666666667,472.046666666667,"A409","d",3,"20170611","Ambient","No Heterotrophy","AN","22",1.893,28.8532022001838,1.31717203101388,1.68406994942636
"86","A409e","Connecting",297.066666666667,"A409e Connecting",609.846666666667,473.106666666667,"A409","e",6,"20170611","Ambient","No Heterotrophy","AN","22",4.441,28.3626874065539,1.28902573063157,1.68818309986678
"87","A423a","Connecting",370.375,"A423a Connecting",751.45,509.966666666667,"A423","a",2,"20170611","Cool","No Heterotrophy","CN","20",1.635,34.1897452779721,1.47352768154781,1.83121208593639
"88","A423b","Connecting",392.214444444444,"A423b Connecting",778.223333333333,559.36,"A423","b",4,"20170611","Cool","No Heterotrophy","CN","20",3.082,35.291483203709,1.3912745518688,2.02287454891157
"89","A424a","Connecting",391.22625,"A424a Connecting",693.875666666667,549.368626666667,"A424","a",5,"20170611","Cool","No Heterotrophy","CN","20",NA,31.8205286476551,1.26304203222672,1.98410471718857
"90","A424b","Connecting",288.426666666667,"A424b Connecting",537.452306666667,486.894463333333,"A424","b",3,"20170611","Cool","No Heterotrophy","CN","20",NA,25.3836182324459,1.10383737573685,1.74168430923648
"91","A424c","Connecting",369.13,"A424c Connecting",579.522113333333,549.608746666667,"A424","c",3,"20170611","Cool","No Heterotrophy","CN","20",NA,27.114814753851,1.05442665686834,1.98503646217324
"92","A449a","Connecting",450.318888888889,"A449a Connecting",877.806666666667,702.48,"A449","a",3,"20170611","Ambient","Heterotrophy","AH","18",2.917,39.389394126442,1.24958243176555,2.57822746498002
"93","A449b","Connecting",444.628333333333,"A449b Connecting",629.69,501.463333333333,"A449","b",4,"20170611","Ambient","Heterotrophy","AH","18",3.767,29.1792518826386,1.25570497012078,1.79821634136562
"94","A449c","Connecting",364.965454545455,"A449c Connecting",763.873333333333,557.706666666667,"A449","c",7,"20170611","Ambient","Heterotrophy","AH","18",4.632,34.7009725251361,1.36966864301425,2.01645906897934
"95","A497a","Connecting",473.845,"A497a Connecting",609.23929,594.980736666667,"A497","a",4,"20170611","Cool","Heterotrophy","CH","17",2.823,28.3376935105551,1.02396473104863,2.16109478354222
"96","A497b","Connecting",577.68,"A497b Connecting",697.21817,721.08666,"A497","b",3,"20170611","Cool","Heterotrophy","CH","17",2.288,31.9580745648327,0.966899276711068,2.65042745721936
"97","A497c","Connecting",378.996666666667,"A497c Connecting",617.02451,582.381023333333,"A497","c",5,"20170611","Cool","Heterotrophy","CH","17",4.612,28.6580597506276,1.05948594696369,2.11220373029115
"98","A535a","Connecting",556.171111111111,"A535a Connecting",507.397163333333,639.57597,"A535","a",11,"20170612","Cool","Heterotrophy","CH","24",12.821,24.1468319547892,0.793333688464458,2.33413903224555
"99","A535b","Connecting",337.412222222222,"A535b Connecting",572.299793333333,528.84441,"A535","b",5,"20170612","Cool","Heterotrophy","CH","24",6.356,26.8176121695952,1.08217045034726,1.90446397113034
"100","A535c","Connecting",294.39,"A535c Connecting",656.381765,455.976985,"A535","c",1,"20170612","Cool","Heterotrophy","CH","24",1.885,30.2776332249702,1.43950634920752,1.62171427185596
"101","A535d","Connecting",545.12,"A535d Connecting",486.844536666667,587.93776,"A535","d",6,"20170612","Cool","Heterotrophy","CH","24",11.076,23.3010796537865,0.828054548948628,2.13376570563812
